ID;TITLE;YEAR;AUTHORS;VENUE;VENUE_TYPE;SOURCE;CATEGORY;DETECTION;DETECTED_BY;KEY;BIBTEX
P001;A Replication Study on memory leaks Detection in Open-Source C++ Software;2026;Petrova, I. and Garcia, M. and Smith, J.;Empirical Software Engineering Letters;Journal;IEEE;Memory Safety;Runtime;LLM;petrovaESEL2026;@article{petrovaESEL2026, author = {Petrova, I. and Garcia, M. and Smith, J.}, journal = {Empirical Software Engineering Letters}, title = {A Replication Study on memory leaks Detection in Open-Source C++ Software}, year = {2026}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P002;A Longitudinal Analysis of package resolution failures in Popular C++ Projects;2023;Ibrahim, Y. and Chen, W.;Transactions on Software Quality;Journal;ACM;Dependency Management;Runtime;Human;ibrahimTSQ2023;@article{ibrahimTSQ2023, author = {Ibrahim, Y. and Chen, W.}, journal = {Transactions on Software Quality}, title = {A Longitudinal Analysis of package resolution failures in Popular C++ Projects}, year = {2023}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P003;Detecting package resolution failures via Static Analysis of GitHub Repositories;2022;Petrova, I. and Kumar, S.;International Journal of Software Reliability Engineering;Journal;IEEE;Dependency Management;Static;LLM;petrovaIJSRE2022;@article{petrovaIJSRE2022, author = {Petrova, I. and Kumar, S.}, journal = {International Journal of Software Reliability Engineering}, title = {Detecting package resolution failures via Static Analysis of GitHub Repositories}, year = {2022}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P004;A Taxonomy of double-free errors in Continuous Integration Pipelines;2024;Haddad, R. and Andersson, L.;Conference on Automated Program Repair;Conference;DBLP;Memory Safety;Build;LLM;haddadCAPR2024;@InProceedings{haddadCAPR2024, author = {Haddad, R. and Andersson, L.}, booktitle = {Conference on Automated Program Repair}, series = {CAPR '24}, title = {A Taxonomy of double-free errors in Continuous Integration Pipelines}, year = {2024}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P005;Root-Cause Analysis of atomicity violations in Large Open-Source Projects;2019;Nguyen, T. and Rossi, P.;International Conference on Software Quality Engineering;Conference;IEEE;Concurrency, Memory Safety;Runtime;Human;nguyenICSQE2019;@InProceedings{nguyenICSQE2019, author = {Nguyen, T. and Rossi, P.}, booktitle = {International Conference on Software Quality Engineering}, series = {ICSQE '19}, title = {Root-Cause Analysis of atomicity violations in Large Open-Source Projects}, year = {2019}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P006;A Taxonomy of race conditions in Continuous Integration Pipelines;2026;Okafor, N. and Garcia, M.;Workshop on Static and Dynamic Analysis;Conference;IEEE;Concurrency;Build;LLM;okaforWSDA2026;@InProceedings{okaforWSDA2026, author = {Okafor, N. and Garcia, M.}, booktitle = {Workshop on Static and Dynamic Analysis}, series = {WSDA '26}, title = {A Taxonomy of race conditions in Continuous Integration Pipelines}, year = {2026}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}, address = {}, month = {}}
P007;Automated Repair of unresolved import failures in Large-Scale Kotlin Repositories;2026;Ibrahim, Y. and Petrova, I.;arXiv;arXiv;arXiv;Dependency Management;Runtime;LLM;ibrahimArxiv2026;@misc{ibrahimArxiv2026, title = {Automated Repair of unresolved import failures in Large-Scale Kotlin Repositories}, author = {Ibrahim, Y. and Petrova, I.}, archivePrefix = {arXiv}, year = {2026}, publisher = {arXiv}, doi = {10.48550/arXiv.2449.05189}, url = {https://doi.org/10.48550/arXiv.2449.05189}}
P008;Toward Automated Detection of missing build artifacts in Open-Source Code;2025;Petrova, I.;arXiv;arXiv;arXiv;Dependency Management;Build;Human;petrovaArxiv2025;@misc{petrovaArxiv2025, title = {Toward Automated Detection of missing build artifacts in Open-Source Code}, author = {Petrova, I.}, archivePrefix = {arXiv}, year = {2025}, publisher = {arXiv}, doi = {10.48550/arXiv.2437.08167}, url = {https://doi.org/10.48550/arXiv.2437.08167}}
P009;A Survey of unresolved import failures Research in Mining Software Repositories;2023;Petrova, I.;Journal of Automated Software Engineering Research;Journal;IEEE;Dependency Management, Memory Safety;Runtime;LLM;petrovaJASER2023;@article{petrovaJASER2023, author = {Petrova, I.}, journal = {Journal of Automated Software Engineering Research}, title = {A Survey of unresolved import failures Research in Mining Software Repositories}, year = {2023}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
P010;Benchmarking Detection Tools for unresolved import failures in GitHub Repositories;2023;Haddad, R. and Ibrahim, Y. and Petrova, I.;International Journal of Software Reliability Engineering;Journal;DBLP;Dependency Management, Memory Safety;Static;LLM;haddadIJSRE2023;@article{haddadIJSRE2023, author = {Haddad, R. and Ibrahim, Y. and Petrova, I.}, journal = {International Journal of Software Reliability Engineering}, title = {Benchmarking Detection Tools for unresolved import failures in GitHub Repositories}, year = {2023}, volume = {}, ISSN = {}, pages = {}, doi = {}, url = {}, publisher = {}}
